Name,Team,TRV_z
Aaron Judge,NYY,3.2904417874462566
Bobby Witt Jr.,KCR,3.2888960359855184
Shohei Ohtani,LAD,3.0815325171858166
Juan Soto,NYY,2.1499408486803135
Gunnar Henderson,BAL,2.6497366174066785
Francisco Lindor,NYM,2.69984514476594
Jarren Duran,BOS,2.7102408757923353
Jose Ramirez,CLE,2.495192610510246
Elly De La Cruz,CIN,2.5144906621544796
Ketel Marte,ARI,2.2098721667103107
Vladimir Guerrero Jr.,TOR,0.09777502752114417
William Contreras,MIL,0.7492464519940601
Matt Chapman,SFG,2.2014563927182156
Cal Raleigh,SEA,0.9757491153557215
Yordan Alvarez,HOU,0.8199334528999546
Jackson Merrill,SDP,1.5043412521830313
Bryce Harper,PHI,0.8165549934575854
Brent Rooker,OAK,0.9245098313118685
Willy Adames,MIL,1.119351265792422
Marcell Ozuna,ATL,-0.16498277400194866
Corey Seager,TEX,1.1201174842377666
Mookie Betts,LAD,2.1636252182521227
Carlos Correa,MIN,1.7744978449912834
Jurickson Profar,SDP,0.8187740515107379
Dansby Swanson,CHC,1.4999781029430528
Patrick Bailey,SFG,1.8180779968446679
Kyle Tucker,HOU,2.936006470465445
Alex Bregman,HOU,1.3842858660733306
Marcus Semien,TEX,1.4818581476438784
Rafael Devers,BOS,0.07909621488384057
Freddie Freeman,LAD,0.2867712226103365
Steven Kwan,CLE,1.912158490679935
Riley Greene,DET,1.0490796636687105
Colton Cowser,BAL,1.3835196837569286
Jazz Chisholm Jr.,- - -,1.200672948024819
Corbin Carroll,ARI,2.5373084355103535
Nico Hoerner,CHC,1.3802242330997059
Trea Turner,PHI,0.8535883328854496
Jackson Chourio,MIL,1.147381307522392
Jose Altuve,HOU,-0.2736923805250438
Julio Rodriguez,SEA,0.02237433034051978
Eugenio Suarez,ARI,0.8704052479945181
Byron Buxton,MIN,1.1011145372055255
Brenton Doyle,COL,1.690933229690917
Ezequiel Tovar,COL,-0.14831677048442107
Ian Happ,CHC,0.6978022103723421
Masyn Winn,STL,1.019859318989287
Seiya Suzuki,CHC,0.8857980155184961
Teoscar Hernandez,LAD,-0.009064815813637425
Manny Machado,SDP,0.4845435699265814
Alec Bohm,PHI,0.7539734543658269
Oneil Cruz,PIT,0.9494520205745106
Zach Neto,LAA,0.6143089584512068
Kyle Schwarber,PHI,0.19840110059524446
Isaac Paredes,- - -,0.6076237681755082
Austin Wells,NYY,0.9037651336792235
Anthony Volpe,NYY,1.156290319554082
Anthony Santander,BAL,0.02852174875995762
Lawrence Butler,OAK,1.3509092814498556
Daulton Varsho,TOR,1.0149892021079743
Fernando Tatis Jr.,SDP,0.9623621083978963
Salvador Perez,KCR,-0.9863805827444913
JJ Bleday,OAK,0.36218578070408863
Brendan Donovan,STL,0.7890889248776417
Victor Robles,- - -,1.483414748181836
Luis Garcia Jr.,WSN,0.4481361324585052
Joey Ortiz,MIL,1.3915070198980968
Nolan Arenado,STL,0.3064233176902638
Willi Castro,MIN,0.02031743241431844
Christian Yelich,MIL,1.8441154779261177
Joc Pederson,ARI,0.5503303865171157
Tyler Fitzgerald,SFG,1.1974739968947334
Christian Walker,ARI,0.6698860177907489
Tyler Stephenson,CIN,0.9668013015076032
Wilyer Abreu,BOS,0.7891826247803402
Yainer Diaz,HOU,-0.7074014248685252
Jake McCarthy,ARI,1.1944437579438014
Carlos Santana,MIN,0.5731759884252471
Mark Vientos,NYM,-0.038450588817572635
Wyatt Langford,TEX,1.310347426860643
Jordan Westburg,BAL,0.6280954214456277
Nathaniel Lowe,TEX,0.49181277329504225
Jonathan India,CIN,1.1621091796387035
Miguel Rojas,LAD,1.079378571826359
Josh Smith,TEX,0.2330888194157404
Adley Rutschman,BAL,0.14650966237337917
Jeremy Pena,HOU,0.35659118738949847
Alejandro Kirk,TOR,0.7888735149441891
Andres Gimenez,CLE,0.02382545326233827
Will Smith,LAD,0.7548635141275446
Taylor Ward,LAA,0.599403511308705
Brandon Nimmo,NYM,0.9734545031973912
Pete Crow-Armstrong,CHC,0.03627639039413877
Willson Contreras,STL,0.2710389654295655
Matt Olson,ATL,-0.6645647547079852
Matt Vierling,DET,1.332929259544005
Ha-seong Kim,SDP,1.5771142429707428
Jacob Young,WSN,1.06674802206907
Tyler O'Neill,BOS,0.5280635895945975
Jose Iglesias,NYM,0.02104710821409055
